text,intent
scratch,cancel_order
how do i make you stop talking,cancel_order
quit the current action please,cancel_order
cancel my 8:00 pm prime rib reservation,cancel_order
"i made a reservation for chris at tony's, please cancel it",cancel_order
cancel my reservation for dinner,cancel_order
"nevermind, cancel that",cancel_order
please cancel the table for two at burger king,cancel_order
i no longer need the reservation for 20 at ihop,cancel_order
"ai, stop talking",cancel_order
do not complete the task that i gave you,cancel_order
could you please cancel my reservation for 5 at red robin,cancel_order
i have a reservation at pizza hut under the name leia roberts and i want to cancel it,cancel_order
stop that,cancel_order
cancel my reservation with carl at umami,cancel_order
remove my dinner reservation,cancel_order
i want you to cancel the current action,cancel_order
i would like to cancel my reservations,cancel_order
stop doing that,cancel_order
"actually, cancel that command",cancel_order
can you cancel the reservation i have at 4 pm at ruth's,cancel_order
can you be quiet please,cancel_order
the reservation i created is not necessary anymore,cancel_order
can you please cancel,cancel_order
"ai, cancel that last request",cancel_order
don't continue with what you're doing,cancel_order
stop the process happening now,cancel_order
"ai, please stop your current task",cancel_order
cancel the reservation i made for 8 pm at black rock,cancel_order
please cancel my reservation for chris at brio,cancel_order
"in regards to my wells fargo account, why is there a hold",complaint
i need my account frozen,complaint
what's the reason for a hold on my wells fargo account,complaint
what's with the block on my bank account,complaint
why is there a hold on my capital one checking account,complaint
who can i talk to right away about the current freeze on my account,complaint
i need to freeze my bank account,complaint
put a hold on my bank account,complaint
i'd like a block on my charles schwab account immediately,complaint
tell me the reason there is a hold or block on my account,complaint
why in the world am i locked out of my bank account,complaint
figure out why there is a block on my account please,complaint
please block my chase account right away,complaint
do you know why my account appears to be blocked,complaint
what reason could the bank have had for blocking my account,complaint
"help me freeze my bank account, please",complaint
dont allow any action on my account,complaint
stop my account activity,complaint
block my monkey market right now,complaint
can you tell me why is my bank account frozen,complaint
why cannot i take any money out from my bank account,complaint
i need to hold off on my account,complaint
my bank account must be frozen,complaint
why does my visa account have a hold on it,complaint
freeze my account,complaint
i would appreciate it if you put a stop on my bank account,complaint
please put a stop on my back account,complaint
can i freeze my bank account,complaint
put a hold on my bank account please,complaint
can you put a stop on my bank account now,complaint
"it was great to see you again, see ya later!",goodbye
it was nice to catch up with you,goodbye
i'm glad i got to talk to you,goodbye
goodbye!,goodbye
bye now,goodbye
see you soon,goodbye
nice to speak with you,goodbye
adios ai,goodbye
ai goodbye,goodbye
bye for now,goodbye
it was great chatting with you,goodbye
i need to go now,goodbye
have a good one,goodbye
good night,goodbye
this was a great conversation,goodbye
i have to go ai goodbye,goodbye
see you around,goodbye
"great talk, take it easy",goodbye
later gater,goodbye
it was good chatting,goodbye
i'm out of here,goodbye
"see you later, alligator",goodbye
it was nice to get in touch,goodbye
fairwell,goodbye
bye-bye,goodbye
i have to go but it was nice talking again!,goodbye
talk to you later!,goodbye
cya later,goodbye
sayonara,goodbye
"great chat, talk to you later",goodbye
ai how are you doing today,greeting
how are things with you,greeting
can you tell me how you're doing today,greeting
how goes it,greeting
how's life,greeting
well hello,greeting
are you doing ok,greeting
hi there,greeting
good to see you,greeting
are you okay right now,greeting
hi how are you,greeting
how's everything,greeting
how do you feel,greeting
how are things treating you,greeting
"hello, anyone there",greeting
greetings to you,greeting
is everything going okay,greeting
so how is everything,greeting
how are things going,greeting
"why, hello bandit",greeting
"yo, hows it going",greeting
how is my ai doing,greeting
hey there!,greeting
what's up with you,greeting
"hello, what's up",greeting
"ai, how are you feeling",greeting
how's it going right now,greeting
how's it going with you,greeting
how are things for you,greeting
good day,greeting
i would like everything on my shopping list ordered,order_status
check the status of my order,order_status
can you please check on the status of my online order,order_status
ran out of tissues and need you to put an order in for more asap,order_status
check on the status of my order,order_status
please get everything on my shopping list,order_status
grab me a new belt on amazon please,order_status
buy everything on my list,order_status
will you buy me underpants,order_status
"please order some more cat food, i'm out",order_status
online order: status,order_status
do you know anything about the status of my order,order_status
are you able to figure out where my package is,order_status
where is my order,order_status
check to see the status of my recent online order,order_status
i'm out of fabric softener so will you order me some more,order_status
when will my package arrive,order_status
i do not have pizza so will you order me some more,order_status
do you know where my package is,order_status
has my online order shipped yet,order_status
"i need some more lysol, could you order me some",order_status
will you order me some more lysol spray,order_status
"could you check to see if my order has been delivered, please",order_status
i'd like to have everything on the shopping list,order_status
can you order more chapstick i am all out,order_status
can you tell me if my last amazon order is coming today,order_status
could you please track my package,order_status
can i please get the status my order,order_status
i want everything on my shopping list,order_status
how soon will me package arrive,order_status
what is the amount of balance i have to pay on my bill,payment_issue
how much do i owe on bills,payment_issue
